Year,State,Sector,Customers,Price,Revenue,Sales
2018,SC,Commercial,376842,10.11,2247543,22232833
2018,SC,Industrial,4324,6.1,1680837,27555886
2018,SC,Residential,2290200,12.44,3962861,31852419
2018,SC,Transportation,0,0.0,0,0
2018,SD,Commercial,72106,9.62,471755,4903243
2018,SD,Industrial,3923,7.77,228011,2935335
2018,SD,Residential,400150,11.59,581764,5018360
2018,SD,Transportation,0,0.0,0,0
2018,TN,Commercial,491567,10.51,3881859,36930451
2018,TN,Industrial,1010,5.68,1227684,21598775
2018,TN,Residential,2882992,10.71,4751657,44381957
2018,TN,Transportation,0,0.0,0,0
2018,TX,Commercial,1591150,8.16,11714651,143524631
2018,TX,Industrial,125714,5.39,6654236,123438829
2018,TX,Residential,11148784,11.2,17609632,157267913
2018,TX,Transportation,3,8.08,15123,187255
2018,US,Commercial,18605393,10.67,147425170,1381754845
2018,US,Industrial,840321,6.92,69218432,1000672553
2018,US,Residential,133893321,12.87,189032969,1469093059
2018,US,Transportation,83,9.7,743609,7664804
2018,UT,Commercial,130053,8.23,994353,12083833
2018,UT,Industrial,9666,5.9,553971,9392709
2018,UT,Residential,1091162,10.41,1011446,9714507
2018,UT,Transportation,1,10.59,5439,51359
2018,VA,Commercial,431058,8.32,4346838,52268211
2018,VA,Industrial,3704,6.86,1216724,17736936
2018,VA,Residential,3431574,11.73,5624478,47962606
2018,VA,Transportation,1,8.28,16434,198595
2018,VT,Commercial,57037,15.24,305338,2003515
2018,VT,Industrial,204,10.66,150385,1411388
2018,VT,Residential,315138,18.02,381309,2116045
2018,VT,Transportation,0,0.0,0,0
2018,WA,Commercial,384366,8.72,2562244,29396404
2018,WA,Industrial,27284,4.72,1191154,25263272
2018,WA,Residential,3076868,9.75,3446381,35338978
2018,WA,Transportation,6,9.38,670,7137
2018,WI,Commercial,354557,10.67,2571408,24093421
2018,WI,Industrial,5789,7.33,1790668,24424585
2018,WI,Residential,2700245,14.02,3146091,22441335
2018,WI,Transportation,1,13.85,29,208
2018,WV,Commercial,144478,9.24,718595,7774429
2018,WV,Industrial,11515,6.4,907954,14192929
2018,WV,Residential,859039,11.18,1306097,11679455
2018,WV,Transportation,0,0.0,0,0
2018,WY,Commercial,58318,9.58,359772,3757211
2018,WY,Industrial,10940,6.71,694804,10359111
2018,WY,Residential,272427,11.29,310226,2748356
2018,WY,Transportation,0,0.0,0,0
2019,AK,Commercial,55080,19.8,522388,2638846
2019,AK,Industrial,1126,16.94,212081,1251751
2019,AK,Residential,289290,22.92,441887,1928208
2019,AK,Transportation,0,0.0,0,0
2019,AL,Commercial,369798,11.52,2657626,23076470
2019,AL,Industrial,7245,5.95,1939949,32602996
2019,AL,Residential,2249425,12.53,4061182,32415646
2019,AL,Transportation,0,0.0,0,0
2019,AR,Commercial,198861,8.78,1049648,11948689
2019,AR,Industrial,34864,6.13,1067717,17411611
2019,AR,Residential,1396870,9.8,1834859,18732316
2019,AR,Transportation,2,11.73,49,416
2019,AZ,Commercial,326191,10.25,3013741,29415272
2019,AZ,Industrial,7899,6.28,865241,13782704
2019,AZ,Residential,2853183,12.43,4317059,34720050
2019,AZ,Transportation,2,9.68,1079,11144
2019,CA,Commercial,1718601,16.67,19052164,114279373
2019,CA,Industrial,147660,13.4,6405718,47807729
2019,CA,Residential,13707126,19.15,16763780,87523987
2019,CA,Transportation,12,8.91,68402,767621
2019,CO,Commercial,380609,10.43,2202661,21111259
2019,CO,Industrial,14386,7.4,1175300,15891020
2019,CO,Residential,2370164,12.18,2362565,19404743
2019,CO,Transportation,1,8.7,9905,113801
2019,CT,Commercial,151979,16.75,2035899,12157788
2019,CT,Industrial,4204,13.44,412704,3071792
2019,CT,Residential,1510966,21.87,2732697,12493550
2019,CT,Transportation,3,13.69,24209,176866
2019,DC,Commercial,26471,12.26,974995,7952305
2019,DC,Industrial,1,8.22,14774,179632
