Year,State Code,Producer Type,Fuel Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
2014,CA,Total Electric Power Industry,Wind,130.0,113.0,5832.8,5815.2
2014,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,41.0,34.0,841.4,731.3
2014,CO,"Combined Heat and Power, Electric Power",All Sources,10.0,3.0,87.0,79.9
2014,CO,"Combined Heat and Power, Electric Power",Coal,3.0,1.0,35.0,40.0
2014,CO,"Combined Heat and Power, Electric Power",Natural Gas,1.0,1.0,37.0,30.1
2014,CO,"Combined Heat and Power, Electric Power",Other Biomass,6.0,1.0,15.0,9.8
2014,CO,Commercial Power,All Sources,19.0,8.0,54.7,52.8
2014,CO,Commercial Power,Hydroelectric,2.0,1.0,2.6,2.6
2014,CO,Commercial Power,Natural Gas,3.0,1.0,33.0,31.0
2014,CO,Commercial Power,Solar Thermal and Photovoltaic,10.0,5.0,10.3,10.4
2014,CO,Commercial Power,Wind,4.0,1.0,8.8,8.8
2014,CO,"Electric Generators, Electric Utilities",All Sources,165.0,62.0,11628.6,10203.5
2014,CO,"Electric Generators, Electric Utilities",Coal,24.0,12.0,5742.2,5238.8
2014,CO,"Electric Generators, Electric Utilities",Hydroelectric,36.0,23.0,591.5,607.4
2014,CO,"Electric Generators, Electric Utilities",Natural Gas,49.0,18.0,4526.6,3609.2
2014,CO,"Electric Generators, Electric Utilities",Petroleum,46.0,12.0,199.5,166.0
2014,CO,"Electric Generators, Electric Utilities",Pumped Storage,5.0,3.0,508.5,562.5
2014,CO,"Electric Generators, Electric Utilities",Wind,5.0,3.0,60.3,19.6
2014,CO,"Electric Generators, Independent Power Producers",All Sources,138.0,66.0,4918.7,4577.9
2014,CO,"Electric Generators, Independent Power Producers",Hydroelectric,22.0,18.0,67.0,66.3
2014,CO,"Electric Generators, Independent Power Producers",Natural Gas,65.0,9.0,2187.0,1860.5
2014,CO,"Electric Generators, Independent Power Producers",Other,1.0,1.0,4.5,3.2
2014,CO,"Electric Generators, Independent Power Producers",Other Biomass,5.0,2.0,6.4,6.3
2014,CO,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,20.0,17.0,119.3,116.6
2014,CO,"Electric Generators, Independent Power Producers",Wind,24.0,18.0,2523.2,2513.7
2014,CO,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,1.0,1.0,11.3,11.3
2014,CO,Industrial Power,All Sources,7.0,4.0,20.5,18.5
2014,CO,Industrial Power,Coal,1.0,1.0,3.0,3.0
2014,CO,Industrial Power,Natural Gas,2.0,1.0,6.4,5.2
2014,CO,Industrial Power,Other,1.0,1.0,6.1,6.1
2014,CO,Industrial Power,Petroleum,2.0,1.0,3.2,2.4
2014,CO,Industrial Power,Wind,1.0,1.0,1.8,1.8
