Year,State,Sector,Price,Customers,Sales,Revenue,Use_per_Customer,Total_Summer_Capacity,IPP_Capacity,Utility_Capacity,Renewable_Capacity,IPP_Share,Renewable_Share,Fossil_Capacity,Fossil_Share
2014,HI,Residential,37.04,425168,2583770,957073,6.0770565988032965,10686.0,720.8,3464.6,561.6,0.13490548381059328,0.052554744525547446,4129.2,0.3864121280179674
2014,HI,Transportation,0.0,0,0,0,,10686.0,720.8,3464.6,561.6,0.13490548381059328,0.052554744525547446,4129.2,0.3864121280179674
2014,IA,Commercial,8.67,224187,12339098,1070319,55.03931093239126,66026.4,6304.0,25310.0,11124.4,0.19095392146171836,0.168484121502914,20315.4,0.30768601650248995
2014,IA,Industrial,5.71,7399,20436173,1166905,2762.0182457088795,66026.4,6304.0,25310.0,11124.4,0.19095392146171836,0.168484121502914,20315.4,0.30768601650248995
2014,IA,Residential,11.16,1348641,14426582,1610036,10.697125476683565,66026.4,6304.0,25310.0,11124.4,0.19095392146171836,0.168484121502914,20315.4,0.30768601650248995
2014,IA,Transportation,0.0,0,0,0,,66026.4,6304.0,25310.0,11124.4,0.19095392146171836,0.168484121502914,20315.4,0.30768601650248995
2014,ID,Commercial,7.78,104463,6127911,476481,58.66106659774274,19775.2,2802.0,6825.2,2067.0,0.2833852502123872,0.10452485941987943,2305.8,0.1166005906387799
2014,ID,Industrial,6.4,27127,8970460,573888,330.6838205477937,19775.2,2802.0,6825.2,2067.0,0.2833852502123872,0.10452485941987943,2305.8,0.1166005906387799
2014,ID,Residential,9.72,690277,8134913,791099,11.78499790663748,19775.2,2802.0,6825.2,2067.0,0.2833852502123872,0.10452485941987943,2305.8,0.1166005906387799
2014,ID,Transportation,0.0,0,0,0,,19775.2,2802.0,6825.2,2067.0,0.2833852502123872,0.10452485941987943,2305.8,0.1166005906387799
2014,IL,Commercial,9.26,600246,50619480,4687910,84.33122419807879,178906.4,76761.2,10525.4,7117.400000000001,0.8581157521474917,0.039782813806549126,58648.799999999996,0.32781834523527387
2014,IL,Industrial,6.85,6098,44329683,3037246,7269.544604788455,178906.4,76761.2,10525.4,7117.400000000001,0.8581157521474917,0.039782813806549126,58648.799999999996,0.32781834523527387
2014,IL,Residential,11.91,5145022,46009458,5481125,8.942519196225012,178906.4,76761.2,10525.4,7117.400000000001,0.8581157521474917,0.039782813806549126,58648.799999999996,0.32781834523527387
2014,IL,Transportation,6.85,3,581666,39853,193888.66666666666,178906.4,76761.2,10525.4,7117.400000000001,0.8581157521474917,0.039782813806549126,58648.799999999996,0.32781834523527387
2014,IN,Commercial,9.96,348699,24129606,2403018,69.19895382550567,109996.0,4075.4,46638.4,3661.6,0.07410087639550529,0.033288483217571545,49690.2,0.451745518018837
2014,IN,Industrial,6.97,18106,49088427,3419485,2711.1690599801173,109996.0,4075.4,46638.4,3661.6,0.07410087639550529,0.033288483217571545,49690.2,0.451745518018837
2014,IN,Residential,11.46,2784660,33703965,3861636,12.103439917260994,109996.0,4075.4,46638.4,3661.6,0.07410087639550529,0.033288483217571545,49690.2,0.451745518018837
