Year,STATE,RESIDENTIAL - Revenues (Thousand Dollars),RESIDENTIAL - Sales (Megawatthours),RESIDENTIAL - Customers (Count),RESIDENTIAL - Price (Cents/kWh),COMMERCIAL - Revenues (Thousand Dollars),COMMERCIAL - Sales (Megawatthours),COMMERCIAL - Customers (Count),COMMERCIAL - Price (Cents/kWh),INDUSTRIAL - Revenues (Thousand Dollars),INDUSTRIAL - Sales (Megawatthours),INDUSTRIAL - Customers (Count),INDUSTRIAL - Price (Cents/kWh),TRANSPORTATION - Revenues (Thousand Dollars),TRANSPORTATION - Sales (Megawatthours),TRANSPORTATION - Customers (Count),TRANSPORTATION - Price (Cents/kWh),TOTAL - Revenues (Thousand Dollars),TOTAL - Sales (Megawatthours),TOTAL - Customers (Count),TOTAL - Price (Cents/kWh)
2010,MI,4320775,34680715,4245158,12.46,3740718,38123171,520233,9.81,2183317,30840513,12827,7.08,513,4820,1,10.65,10245323,103649219,4778219,9.88
2010,MN,2379113,22464797,2300291,10.59,1887110,22515351,276463,8.38,1433278,22797763,10150,6.29,1693,21795,1,7.77,5701194,67799706,2586905,8.41
2010,MO,3385582,37302279,2695809,9.08,2358019,31430653,370955,7.5,953656,17330169,8899,5.5,1351,22016,1,6.14,6698608,86085117,3075664,7.78
2010,MS,1991612,20174826,1250149,9.87,1285951,13804962,224517,9.32,992969,15707378,6797,6.32,0,0,0,0.0,4270532,49687166,1481463,8.59
2010,MT,434420,4742794,467878,9.16,409363,4789182,101129,8.55,235469,4239477,5218,5.55,0,0,0,0.0,1079252,13771453,574225,7.84
2010,NC,6288493,62160107,4185540,10.12,3910578,47931940,644609,8.16,1623228,26315850,11016,6.17,500,7050,8,7.09,11822798,136414947,4841173,8.67
2010,ND,357052,4392596,326409,8.13,340008,4714115,58568,7.21,223760,3849552,2641,5.81,0,0,0,0.0,920820,12956263,387618,7.11
2010,NE,903393,10106673,801101,8.94,727801,9532438,154015,7.64,612988,10210349,45032,6.0,0,0,0,0.0,2244182,29849460,1000148,7.52
2010,NH,732038,4485469,597411,16.32,635979,4462438,104612,14.25,247747,1942167,3495,12.76,0,0,0,0.0,1615764,10890074,705518,14.84
2010,NJ,5021997,30307268,3454840,16.57,5571154,40122547,478687,13.89,995278,8428639,12960,11.81,37651,320973,6,11.73,11626079,79179427,3946493,14.68
2010,NM,710548,6752473,853811,10.52,772589,9015729,135580,8.57,400122,6660142,7259,6.01,0,0,0,0.0,1883259,22428344,996650,8.4
2010,NV,1435699,11614669,1058519,12.36,877691,8969727,154455,9.79,971592,13179708,3484,7.37,798,8491,18,9.4,3285779,33772595,1216476,9.73
2010,NY,9547884,50945648,6954916,18.74,12601107,77275676,1038260,16.31,1184683,13480462,8364,8.79,401507,2921787,24,13.74,23735180,144623573,8001564,16.41
2010,OH,6161970,54474377,4877229,11.31,4528123,46525627,612974,9.73,3397912,53109368,20693,6.4,3108,36046,3,8.62,14091113,154145418,5510899,9.14
2010,OK,2164328,23688861,1660653,9.14,1415038,19005132,261932,7.45,810789,15151987,18356,5.35,0,0,0,0.0,4390155,57845980,1940941,7.59
2010,OR,1671727,18838666,1629076,8.87,1173041,15453588,238450,7.59,631878,11708420,22638,5.4,1765,25271,58,6.99,3478411,46025945,1890222,7.56
2010,PA,7017223,55252837,5244278,12.7,4783808,47366366,678774,10.1,3480921,45457627,27293,7.66,70129,887138,16,7.91,15352082,148963968,5950361,10.31
2010,RI,496481,3117808,430623,15.92,483825,3693289,56664,13.1,113621,960833,1975,11.83,3748,27297,1,13.73,1097676,7799227,489263,14.07
2010,SC,3449574,32852086,2089302,10.5,1986442,22320133,340365,8.9,1567886,27307074,4477,5.74,0,0,0,0.0,7003902,82479293,2434144,8.49
2010,SD,415338,4628123,370566,8.97,329832,4367781,66278,7.55,143156,2360245,3290,6.07,0,0,0,0.0,888325,11356149,440134,7.82
2010,TN,4172362,45191027,2704054,9.23,2838715,29399025,460404,9.66,1903857,28929637,2027,6.58,205,1848,1,11.09,8915139,103521537,3166486,8.61
2010,TX,15905877,137161402,9536778,11.6,11163356,121467292,1459667,9.19,6420039,99754412,127608,6.44,7311,74444,3,9.82,33496583,358457550,11124056,9.34
2010,UT,769145,8834230,936602,8.71,741023,10367847,122340,7.15,434488,8808211,9431,4.93,2928,33713,10,8.69,1947584,28044001,1068383,6.94
2010,VA,5061603,48438958,3258959,10.45,3676236,48036984,419950,7.65,1141321,17141224,5380,6.66,14552,188969,1,7.7,9893712,113806135,3684290,8.69
2010,VT,331390,2127935,307839,15.57,271532,2020937,50620,13.44,137851,1445961,219,9.53,0,0,0,0.0,740774,5594833,358678,13.24
2010,WA,2805591,34906926,2825281,8.04,2125160,28833281,353330,7.37,1085311,26632814,27970,4.08,516,6949,6,7.42,6016578,90379970,3206587,6.66
2010,WI,2820621,22299493,2594698,12.65,2296381,23001117,338406,9.98,1606232,23451807,4496,6.85,0,0,0,0.0,6723234,68752417,2937600,9.78
2010,WV,1094174,12442583,867948,8.79,610027,7961906,137209,7.66,681014,11622934,12348,5.86,365,4380,1,8.33,2385580,32031803,1017506,7.45
2010,WY,239198,2727201,257447,8.77,320135,4317140,59642,7.42,501285,10069117,8933,4.98,0,0,0,0.0,1060618,17113458,326022,6.2
2010,US,166778041,1445708403,125717935,11.54,135553746,1330199364,17674338,10.19,65772007,971221189,747747,6.77,814346,7712412,239,10.56,368918140,3754841368,144140259,9.83
